,army,unitid,step,datetime,latitude,longitude,name,parent,men,officers
0,3,B01RF3B,40,1815-06-16 16:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
1,3,B01RF3B,41,1815-06-16 17:00:00,50.5658,4.4627,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
2,3,B01RF3B,42,1815-06-16 18:00:00,50.5695,4.455,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
3,3,B01RF3B,43,1815-06-16 19:00:00,50.5695,4.455,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
4,3,B01RF3B,44,1815-06-16 20:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
5,3,B01RF3B,45,1815-06-16 21:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
6,3,B01RF3B,46,1815-06-16 22:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
7,3,B01RF3B,47,1815-06-16 23:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
8,3,B01RF3B,48,1815-06-17 00:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
9,3,B01RF3B,49,1815-06-17 01:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
10,3,B01RF3B,50,1815-06-17 02:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
11,3,B01RF3B,51,1815-06-17 03:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
12,3,B01RF3B,52,1815-06-17 04:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
13,3,B01RF3B,53,1815-06-17 05:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
14,3,B01RF3B,54,1815-06-17 06:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
15,3,B01RF3B,55,1815-06-17 07:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
16,3,B01RF3B,56,1815-06-17 08:00:00,50.5697,4.4599,1st (Royal Scots) RF 3rd Bn,B9IB,561.0,43.0
17,3,B01RFG2B,43,1815-06-16 19:00:00,50.5651,4.4441,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
18,3,B01RFG2B,43,1815-06-16 19:00:00,50.5648,4.4407,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
19,3,B01RFG2B,44,1815-06-16 20:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
20,3,B01RFG2B,44,1815-06-16 20:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
21,3,B01RFG2B,45,1815-06-16 21:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
22,3,B01RFG2B,45,1815-06-16 21:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
23,3,B01RFG2B,46,1815-06-16 22:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
24,3,B01RFG2B,46,1815-06-16 22:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
25,3,B01RFG2B,47,1815-06-16 23:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
26,3,B01RFG2B,47,1815-06-16 23:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
27,3,B01RFG2B,48,1815-06-17 00:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
28,3,B01RFG2B,48,1815-06-17 00:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
29,3,B01RFG2B,49,1815-06-17 01:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
30,3,B01RFG2B,49,1815-06-17 01:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
31,3,B01RFG2B,50,1815-06-17 02:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
32,3,B01RFG2B,50,1815-06-17 02:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
33,3,B01RFG2B,51,1815-06-17 03:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
34,3,B01RFG2B,51,1815-06-17 03:00:00,50.5596,4.4414,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
35,3,B01RFG2B,52,1815-06-17 04:00:00,50.5612,4.444,1st R Foot-Guards 2nd Bn,B1IB,943.0,33.0
